Date,Open,High,Low,Close,Adj Close,Volume
2015-11-24,109.370003,110.169998,108.900002,109.949997,107.038651,482700
2015-11-25,109.980003,110.320000,109.919998,110.160004,107.243088,550000
2015-11-27,110.250000,110.320000,109.779999,110.209999,107.291763,224800
2015-11-30,110.309998,110.370003,109.419998,109.449997,106.551895,498200
2015-12-01,109.930000,110.510002,109.760002,110.480003,107.554626,687200
2015-12-02,110.459999,110.660004,109.300003,109.459999,106.561638,965900
2015-12-03,109.680000,109.769997,107.209999,107.720001,104.867706,924800
2015-12-04,108.000000,109.989998,107.989998,109.809998,106.902351,761000
2015-12-07,109.669998,109.730003,108.519997,109.089996,106.201431,3342000
2015-12-08,108.099998,109.169998,107.930000,108.870003,105.987236,636500
2015-12-09,108.489998,109.349998,107.040001,107.589996,104.741150,814200
2015-12-10,107.750000,108.620003,107.470001,107.889999,105.033195,607900
2015-12-11,106.570000,106.900002,105.430000,105.580002,102.784370,771100
2015-12-14,105.669998,106.150002,104.449997,106.150002,103.339264,924400
2015-12-15,107.110001,107.540001,106.720001,106.879997,104.049934,800500
2015-12-16,107.540001,108.629997,106.900002,108.440002,105.568634,930300
2015-12-17,108.320000,108.320000,106.339996,106.379997,103.959114,1020500
2015-12-18,105.980003,106.029999,104.470001,104.489998,102.112122,843000
2015-12-21,105.260002,105.389999,104.500000,105.290001,102.893921,928100
2015-12-22,105.820000,106.260002,105.309998,106.099998,103.685478,1142200
2015-12-23,106.820000,107.190002,106.519997,107.160004,104.721382,924200
2015-12-24,107.040001,107.339996,106.900002,107.029999,104.594322,504400
2015-12-28,106.919998,106.980003,106.230003,106.980003,104.545464,582900
2015-12-29,107.750000,108.400002,107.459999,108.190002,105.727928,615300
2015-12-30,108.099998,108.110001,107.400002,107.440002,104.994995,685500
2015-12-31,107.059998,107.470001,106.379997,106.389999,103.968895,614300
2016-01-04,104.589996,104.599998,103.389999,104.570000,102.190308,1097300
2016-01-05,104.820000,105.019997,104.089996,104.589996,102.209846,1059800
2016-01-06,103.070000,104.080002,102.750000,103.440002,101.086029,818800
2016-01-07,101.589996,102.669998,100.669998,100.779999,98.486549,1220500
2016-01-08,101.589996,101.809998,99.669998,99.839996,97.567955,1126500
2016-01-11,100.370003,100.650002,98.650002,99.940002,97.665680,1290200
2016-01-12,100.879997,101.400002,99.570000,100.860001,98.564735,773900
2016-01-13,101.160004,101.389999,97.730003,97.849998,95.623238,980800
2016-01-14,98.209999,100.150002,96.790001,99.360001,97.098869,2202900
2016-01-15,96.860001,97.830002,96.089996,97.330002,95.115067,1223900
2016-01-19,98.449997,98.599998,96.360001,97.339996,95.124825,1905400
2016-01-20,95.989998,97.529999,93.620003,96.610001,94.411453,1761300
2016-01-21,96.839996,98.199997,95.910004,97.080002,94.870758,1943200
2016-01-22,98.680000,99.510002,98.519997,99.410004,97.147736,2371200
2016-01-25,99.250000,99.430000,97.930000,98.089996,95.857758,811500
2016-01-26,98.379997,99.279999,97.860001,99.099998,96.844795,690000
2016-01-27,98.760002,99.300003,96.820000,97.339996,95.124825,1137700
2016-01-28,98.389999,98.529999,96.790001,97.860001,95.633011,888800
2016-01-29,98.000000,100.019997,97.919998,100.000000,97.724304,1217900
2016-02-01,99.430000,100.709999,99.199997,100.239998,97.958832,1108200
2016-02-02,99.680000,99.680000,98.190002,98.480003,96.238899,980200
2016-02-03,99.220001,99.220001,96.870003,98.720001,96.473434,1622000
2016-02-04,98.510002,99.430000,97.940002,98.800003,96.551613,979600
2016-02-05,98.330002,98.330002,95.510002,95.849998,93.668747,1260200
2016-02-08,94.629997,94.839996,92.529999,93.989998,91.851059,2569700
2016-02-09,93.000000,94.989998,92.779999,94.029999,91.890167,1777700
2016-02-10,94.690002,96.040001,94.279999,94.379997,92.232201,1780600
2016-02-11,92.910004,94.139999,92.470001,93.550003,91.421097,1756700
2016-02-12,94.610001,95.230003,93.889999,95.190002,93.023766,1170500
2016-02-16,96.400002,97.089996,95.879997,97.040001,94.831665,1512500
2016-02-17,97.720001,99.139999,97.709999,98.970001,96.717735,1493100
2016-02-18,99.139999,99.150002,98.000000,98.150002,95.916412,803300
2016-02-19,97.709999,98.480003,97.339996,98.430000,96.190025,785900
2016-02-22,99.279999,99.980003,99.279999,99.870003,97.597267,616800
2016-02-23,99.589996,99.870003,98.699997,98.730003,96.483208,737500
2016-02-24,97.730003,99.500000,97.150002,99.349998,97.089096,778800
2016-02-25,99.669998,100.480003,99.029999,100.459999,98.173828,598600
2016-02-26,101.059998,101.099998,100.290001,100.430000,98.144516,548100
2016-02-29,100.430000,101.029999,99.580002,99.599998,97.333412,734700
2016-03-01,100.489998,102.360001,100.150002,102.360001,100.030609,734400
2016-03-02,102.110001,102.389999,101.669998,102.300003,99.971970,625900
2016-03-03,102.250000,102.650002,101.839996,102.629997,100.294456,905800
2016-03-04,102.849998,103.440002,102.279999,102.860001,100.519218,633700
2016-03-07,102.379997,103.029999,102.019997,102.650002,100.314003,797200
2016-03-08,102.059998,102.449997,101.400002,101.580002,99.268356,524900
2016-03-09,102.040001,102.040001,101.370003,101.970001,99.649475,646700
